activity,review,rating
海洋博美麗海煙火大會付費座位票（2026年7月4日）,"Great experience fireworks 
Even we know the traffic stuck but we still enjoy the arrangement of the fireworks 

Ray form Hong Kkng",5
海洋博美麗海煙火大會付費座位票（2026年7月4日）,"The firework show was so amazing!! It's so comfortable to sit on beach, watching  the show and beautiful sunset.",4
海洋博美麗海煙火大會付費座位票（2026年7月4日）,煙火非常好看，音樂的搭配，施放煙火的節奏跟橋段都非常棒，令人感動，明年還想要來玩！！！！！！！！！！！！,5
海洋博美麗海煙火大會付費座位票（2026年7月4日）,大會安排的非常好👍，不論是停車動線，或是座位安排，整條路線都可以看到親切的工作人員🧑‍💼，明年還想要來,5
海洋博美麗海煙火大會付費座位票（2026年7月4日）,"the reserved paid temporary parking lot too far away even arranged shuttle but, anc due to rainy thd parking lot very dusty ",3
海洋博美麗海煙火大會付費座位票（2026年7月4日）,we can take the seats we prefer but other can chose seats,5
海洋博美麗海煙火大會付費座位票（2026年7月4日）,"煙火非常精彩，還有妥善的區域劃分。
但是散場沒有接駁公車，對於沒開車或不住附近的旅客極度不便。

請輸入超過50個字",4
海洋博美麗海煙火大會付費座位票（2026年7月4日）,My very first fireworks show in Japan. It was amazing !,5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"This was such an amazing time! It was so relaxing to sit in the boat just the two of us. We brought a couple beers and bought two more from the floating market. People packed like sardines in the other boats for half the time were shouting ""How'd you get your own boat?"" Lol. I highly recommend it! And would pay more to go longer. Our boat driver was awesome! ",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,It was exactly what I was expecting. The bootsman was perfect ,5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"家族３人で利用しました。
３人なので、1人五千円はちょっと高いかと思いましたが、足を伸ばしてゆっくり過ごせました！
船頭さんの説明も良くて、優雅な時間をのんびりすごせました。
個人的にはトロッコ列車より好き❤️",4
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,今回、家族で屋形船を利用しましたが、本当に素晴らしい体験でした。船頭さんが巧みに舟を操る姿を間近で見ることができ、子供たちも大興奮でした。水面から眺める嵐山の景色は格別で、とても贅沢な時間を過ごせました。持ち込みが可能なので、好きな飲み物を片手にゆったりと楽しめたのも良かったです。スタッフの方々も親切で、心からおすすめできるアクティビティです。,5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"Arashiyama can be very very crowded. For a peaceful, fulfilling start to your Arashiyama trip, recommend to take this 1-hour private boat trip (with table) early at 9am! Worth the money spent, guaranteed.",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,We made reservations a few months in advance and checking in for our private boat was easy.  We had the entire boat to ourselves and we brought some snacks and rinks to enjoy as we floated along. Our boatman kept the boat going smoothly and guided us along but one thing is he really didn’t point out anything not told us about some of the area and sights we were seeing. Luckily several of us are local and knew what things where so we had to point them out to the rest and explain things. We were disappointed that the floating snack/ drink boat never came up along side to offer more drinks or other items as we were hoping to enjoy some warm sake and other treats that wood have made the boat ride a bit more fun. ,5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"Wonderful experience, our guide was very kind and engaging. He gave us a lot of information about the surroundings, and even stopped in a quiet section of the river and offered to take our group picture. He was very funny, and extremely skilled at navigating the boat. This was one of our best experiences in Kyoto, highly recommend. ",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,嵐山の屋形船でのんびり楽しめた1時間　最高でした！水上コンビニの販売がとても魅力的です。おでん・イカ焼き・みたらし団子など、そそられるものが一杯！,5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"少し寒かったですが、ブランケットを貸して頂き、快適でした。周りに手漕ぎボートがいっぱいでしたが、さすがプロの技、長い棒1本で安全な航行でした。歴史にも触れたお話も聞けて、紅葉🍁も素晴らしく、あっという間の1時間でした。嵐山は、とても混んでいて、駐車場探しに手こずって遅れてしまいましたが、貸切だからということもあり、全員揃うまで待ってくださりました。とても暖かい対応も感謝でした。また、お願いしたいアクティビティです。
おすすめです。",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,We loved this ! Super peaceful great experience. Recommend to anyone ,5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"Kyoto Arashiyama Private Yakatabune offers a serene and elegant 1-hour boat ride through Arashiyama’s breathtaking seasonal scenery — perfect for groups of four. The experience is made even better by the wonderful guide, who is not only accommodating but also helps capture amazing photos throughout the trip. Communication can be a bit challenging since the guide mainly speaks Japanese, so downloading Google Translate is highly recommended for a smoother and more enjoyable experience.",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,ゆったりのんびり、最高でした。船頭さんも親切。テーブルを入れてもらい、飲み物やおつまみを持ち込んで楽しみました♪売店船も寄ってきて温かいおでんや、冷たいビールも入手。1時間の借りきりでしたが、同行者からは、次は2時間で、と注文されました(*^-^),5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,Our group of 5 had a lovely time. We didnt bring snacks or drinks but it wasn't an issue because we really loved the restaurant boat that sold fresh grilled snacks. Our guide was friendly and kind: he offered to take a couple pictures for us and showed us many interesting things along the river. ,5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"嵐山はインバウンドの人混みで、行き着くまではへとへとでしたが、水上は貸し切りなので、上流へボートの込みを抜けると、とっても静かで優雅でした。
ビールとかおつまみを持ち込めるのも◎",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"最近ゲリラ豪雨もある中天気に恵まれカンカン照りでもなく優雅に貸切で堪能しました。
船頭さんも良く説明のタイミングがよく
話したら気さくに話をかえしてくれてのんびり1時間過ごせました。
屋根ありなので日陰のなか扇子をあおぎ良い空間を過ごせます。
最近嫌なことが多かった為、心穏やかに過ごせました。また、周りにテゴキボートがいて、みんな行きたい方向がわからずぶつかられそうでしたが船頭さんはゆっくりと脱出してくれました。
ありがとうございました。",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"Amazing folks all around from boat operator to the people servicing the ticket. But the Vletra website is very old, clunky and confusing, selecting the right number of people was difficult on Veltra website. So I paid for whatever it let me select, then got in touch via email to pay for the rest. Website needs a major update.",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"最初は「一時間長くね？」「値段ちょっと高いなぁ（二人貸切一時間合計15000円）」と思いながら予約しましたが、今は「予約しててよかった」と思っています！
二人の貸切しかも一番目の時間帯（九時）のため、他に乗船する観光客もほぼいませんし、ゆっくりと嵐山の風景を堪能することができました！船頭さんも何回も「写真撮ってあげましょうか」って話しかけてくれたり、地元の話を紹介してくれたりして、すごく優しい人です！
今度はまた春、秋、冬の違う季節の嵐山を楽しみたいと思います！",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"お天気良くて、下流にはソメイヨシノ、上流には山桜🌸水辺には鴨🦆達が餌に群がり可愛い🩷姿。
非日常で、日本に住んでいる事の幸せをたっぷりと感じる事が出来ました。

船頭さんの話で、新たな京都を知る事が出来、有意義な時間を頂き有難うございました。
",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"初めての屋形船体験でした。

当日雨が直前まで降っていましたがあがり、陽が差すタイミングも。
船頭さんが丁寧に説明してくださっている説明を聴きながら、山々の自然やカモや鵜などの生き物たちも間近で見ることができました。

桜がら咲いている景色も楽しみつつ、渡月橋も一望しながらカモが一斉に集まる様子を見たり、船の方まで来てくれるおでんや団子など販売している船で購入した暖かいおでんやイカ焼き、団子などを頬張りつつ過ごした1時間は、とても貴重な最高の思い出になりました。",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,人混みを避けて桜を楽しみたくて予約させて頂きました。仲間と三人だけでゆっくりと堪能させて頂き最高なお花見が出来ました。,5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"予想以上に良かったです。
慣れない道での渋滞により開始時刻が予定より遅れてしまいましたが様々な配慮のお陰で、家族全員とても楽しむことができました。

ありがとうございました。",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"家族で貸切で乗りました。12:00からの乗船で暑い日だったのですが、船には屋根もあり暑くなく、とても気持ちよかったです。船の中でお昼ご飯を食べました。おにぎり等持ち込みました。途中水上コンビニの船が来てくださり、きゅうりの浅漬を買い持ち込んだおにぎりとコロッケで最高のランチが出来ました！ギリギリまで近寄ってくれてその操作技術が素晴らしかったです。
船頭さんは要所要所で穏やかに話しかけてくださり、家族でゆっくりしている時間を気遣ってくださいました。大満足の1時間でした！ありがとうございました！",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"四人で貸切の屋形船に初めて乗船しました。
何が良かったかって、景色もさることながら、船頭さんが優しくて、付かず離れずよい距離感でお話ししてくださったことです。とても良い方でした。
お弁当は持ち込みましたが、途中、売店の船が来てくれて、みたらし団子を購入。こういうのもすごく嬉しいです。周りにも勧めようと思います。",5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,The staff are very warm welcoming. Also the view of the river and mountain was billions:),5
Kyoto Arashiyama Private Yakatabune: Elegant Boat Ride to Enjoy Seasonal Scenery,"本当に貸し切りで、ゆっくり舟遊びを楽しめました。
友人達も一時間の屋形船の中での会話や風景を楽しめたと喜んでいました。
",5
