country,city,activity,review,month,rating
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"Our family of 4 very much enjoyed learning at the Kuge Crafts workshop.  Wonderful teachers, very clearly explained, fun experience with special keepsake.  ",5.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"I had been searching for an authentic artistic experience in Tokyo that felt like it wasn’t just created for tourists. This class fit the bill perfectly, and Yoshiko and Yoshiichiro Kuge were wonderful instructors. They have been running a ceramics studio for over 50 years and teaching the art of kintsugi for 40 years. They have full, months-long apprenticeships but also do one-day workshops as an introduction. We learned a lot in their tiny studio, and our college-age artist plans to continue the practice at home. Our hosts even gave us a shopping list for supplies! (The supplies were available locally at Hands department store in Shinjuku and elsewhere.)

The afternoon was relaxed, including tea and snacks provided by our hosts. They wrapped our creations securely in plastic containers to take home. The tea cups we repaired are food safe too, which I saw is not the case for other classes. 

I highly recommend this experience. It was truly a highlight of our trip!",5.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,Great teachers and unique experience. Highly recommend!,5.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,It was such a special experience to spend a few hours with the owners of KUGE studio. They are both pottery artists and took the time to teach us to create our own kintsugi teacup as well as give us an overview about this traditional art form. Not only was it a meditative art experience but it was so special to connect with these two lovely people. It was one of the best afternoons I spent in Tokyo and I strongly recommend booking this class. ,2.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,The Kuge’s are clearly very accomplished in the skills and the art of kintsugi. They are wonderful hosts who were very willing to share their knowledge and experience and help us create a unique kintsugi piece. Will definitely try to do another session with them when we come back to Tokyo!,1.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,We had such a wonderful time learning kintsugi! The detail and time this lovely couple takes to teach you the craft is so personal. I will forever treasure the experience. ,10.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"初めて金継ぎを体験しました。
GoogleマップでKuge Craftを見つけて、あたたかくて落ち着いた雰囲気が気に入りました。
オーナーご夫婦はとても優しく、親切で、丁寧に教えてくださいました。

猫用の小さなお皿を持って行ったのですが、それだけでなく湯のみも直すことができました。
今は全部うちで大切に使っています！

グループの人数も少なくて、ゆったり楽しめました。
車の方には、お店のすぐ横に駐車スペースもあります。

またぜひ行きたいです！",10.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"We had a great time in this studio during the rainstorm, and came home with amazing souvenirs!",9.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"J'ai pu pour la première fois réparer et décorer un petit bol ébréché entièrement seule grâce au très bon conseils du professeur. Ambiance familiale,Petit groupe nous étions quatre.
Café et gâteau servis à l'arrivée. 
J'ai adoré et conseille vivement cet atelier.",9.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"We had an absolutely delightful time at the kintsugi class.  The hosts were exceptionally kind and friendly.  The class was interesting and time flew by.  We all left with our own piece restored pottery.  A wonderful way to spend some time doing something interest with such nice and thoughtful people.  As tourists it sometimes seems so rare to have an opportunity to interact with people in this way.

(The class is also very easy to get to by train.)",7.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,This is a must stop for anyone who desires an authentic Tokyo experience. The hosts are not only talented but so welcoming. Where else would you get homemade cake and 40 years of artistic expression? This is not an experience my family will soon forget.,6.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"We had a great time at the kitsugi workshop where we not only learned exactly how to use the tools and create the art but also where we can get supplies to apply our learnings at home. 

Wholeheartedly recommend to take 3 hours out of your time in Tokyo to do this. ",6.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,The thrill of repairing an Edo period piece of pottery is indescribable. Yoshiko Kuge gently guided us through the process (after welcoming us with a pasty and tea). ,6.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"The kintsugi workshop with Yoshiko and Yochiichiro was one of the top highlights of our trip to Japan. They were so warm, kind and welcoming. ",5.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"This was such a wonderful experience! Yoshiichiro and Yoshiko were so kind and informative. They taught us about the entire kintsugi process and its history. They also gave us all the information we needed to fix our own ceramics when we get home. If you want an unforgettable experience and a one of a kind souvenir, don’t miss Kuge Crafts! The snacks were wonderful too :)  ",5.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"The workshop is great, we learned a lot of things. It was my second time coming after 2018 and it is still wonderful. Thanks !",5.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"We loved our visit to Kuge Crafts! The hosts were super lovely, enthusiastic to share their craft with us, willing to answer questions, and provided lots of beautiful examples of kintsugi to guide our creation process. If you go for a 1-day class, you will only have time to repair small chips in cups, rather than full cracks, as these take time to dry. You will have plenty of time to paint your piece, however, with gold accents!",5.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"This was a fantastic experience. The owner and her husband made us feel very welcome and provided excellent tuition. The tea and sweet treats were delicious.

It was very clear that they were exceptionally talented, and the craftsmanship on display was incredible! 

We feel very inspired to continue Kintsugi at home and plan on breaking many plates!",5.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"This kintsugi class was one of the first things we did in Japan, and yet it was one of our favorite activities over our two-week trip!

Yoshiko and Yoshiichiro are welcoming, patient, knowledgable and talented instructors. We learned about the art of kintsugi and its history, snacked on delicious tea and snacks, and were guided through producing lovely pieces that we'll enjoy for years to come. Furthermore, we had great conversations (English is not an issue) and lots of laughs. 

Very short walk from the bus stop as well. Would highly recommend! Thank you Yoshiko and Yoshiichiro!

",4.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,The craft of repairing broken pottery is beautiful and fun to experience first hand.  Our hosts were lovely!   Informative and welcoming.  A highlight of our stay in Tokyo!,4.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"Our experience was great!

We started off with a homemade dessert treat, and Yoshiichiro and Yoshiko were lovely. They patiently walked us through the process of creating our own pieces, and gave us information on equipment to purchase here in Japan in order to do kintsugi back home.

Overall a lovely way to have a personalized souvenir and learn more about the art of Kintsugi.",4.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"This was one of the best experiences of our trip!! Yoshiko and Yoshiichiro were wonderful hosts, thank you so much! Highly recommend! Makes me want to start my own kintsugi workshop in London! ",3.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,We thoroughly enjoyed our kintsugi lesson with Kuge Crafts.  In a snug little studio our class of four students were charmed by the instructor husband and wife team.  The lesson was well planned and timed. We chose our small nicked vessels from  an array of antique cups and immediately set about repairing and decorating them with golden lacquer. The results were so pleasing. and well-packed for travel home.,3.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"My 80 year old father was just going to humor me, but the lovely couple who run Kuge crafts won him over instantly. They were just wonderful and so willing to share their love of kintsugi. We were greeted with beautiful snacks and tea and were able to pick our item from a selection. We were then told how old our items were. Ours were from the Edo period. We got right to work repairing the miniature chips, it’s a beginner class! Our cups turned out so beautiful and my father surprisingly got very into decorating his! He said it was his favorite activity we’d done in our two week trip. I can’t wait to come back for another visit! They also gave us a very helpful list of all the items needed to do this at home. I was able to get everything at Hands and can’t wait to attempt this again. 
Thank you so much for such a lovely afternoon!",3.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,"I spent a lovely couple of hours learning about and trying my hand at kintsugi with Yoshiichiro and Yoshiko. They make quite a team! 

We received snacks to start and tea throughout. We choose from among a dozen chipped cups to repair and then walked through the process at a leisurely pace. They sent us home with enough information (plus a tiny custom brush) to try repairs at home. 

Kintsugi can be a much more creative craft than I realized. I highly recommend this class for both the interaction Y. and Y. and the activity.",3.0,5
japan,tokyo,Kintsugi Workshop in Tokyo: Repair Pottery with Gold at Kuge Crafts Studio,My daughter and I had the best time doing this! So personalized and it was just us! We loved it and the tea and sweets are served us! We thoroughly enjoyed ourselves,3.0,5
